id,date,merchant,category,category_color,account,method,amount_cents,currency,notes
85,2023-08-10,Target,Shopping,#e0647f,High-Yield Savings,ACH Transfer,15420,USD,Monthly subscription
80,2023-08-11,AMC Theatres,Entertainment,#b07ce8,Amex Platinum,Credit Card,8152,USD,
68,2023-08-12,ParkMobile,Transportation,#45b7a4,Sapphire Card,Credit Card,7441,USD,Split payment
73,2023-08-12,Zipcar,Transportation,#45b7a4,Sapphire Card,Cash,384,USD,Monthly subscription
58,2023-08-13,Sweetgreen,Food,#ed7940,Everyday Checking,Debit Card,628,USD,Date night
96,2023-08-13,Marriott,Travel,#6f7bd6,Sapphire Card,Cash,1938,USD,Split payment
65,2023-08-14,Homeshield Insurance,Housing,#4f8fdf,Everyday Checking,Debit Card,5732,USD,
59,2023-08-15,Local Farmers Market,Food,#ed7940,Amex Platinum,ACH Transfer,848,USD,Home office
66,2023-08-15,Homeshield Insurance,Housing,#4f8fdf,Amex Platinum,Credit Card,9202,USD,Home office
71,2023-08-15,Lyft,Transportation,#45b7a4,Everyday Checking,ACH Transfer,2234,USD,Gift for Sam
62,2023-08-17,Chipotle,Food,#ed7940,Sapphire Card,Credit Card,14776,USD,
63,2023-08-17,Whole Foods Market,Food,#ed7940,Sapphire Card,ACH Transfer,959,USD,Reimbursed by work
81,2023-08-17,ConEdison,Utilities,#e0b64a,High-Yield Savings,Cash,6925,USD,Weekly groceries
57,2023-08-18,Shake Shack,Food,#ed7940,Amex Platinum,ACH Transfer,1379,USD,Reimbursed by work
100,2023-08-18,Airbnb,Travel,#6f7bd6,High-Yield Savings,Cash,9154,USD,
77,2023-08-19,Live Nation,Entertainment,#b07ce8,Sapphire Card,Cash,1437,USD,
90,2023-08-19,Best Buy,Shopping,#e0647f,Sapphire Card,Cash,2825,USD,Split payment
94,2023-08-19,CVS Pharmacy,Healthcare,#58b86a,Amex Platinum,Credit Card,22823,USD,Family visit
52,2023-08-20,Blue Bottle Coffee,Food,#ed7940,Sapphire Card,Debit Card,6948,USD,
87,2023-08-20,Target,Shopping,#e0647f,High-Yield Savings,Debit Card,30657,USD,Weekly groceries
76,2023-08-21,AMC Theatres,Entertainment,#b07ce8,Sapphire Card,Credit Card,1190,USD,Gift for Sam
53,2023-08-22,Levain Bakery,Food,#ed7940,Sapphire Card,Cash,2067,USD,Gift for Sam
88,2023-08-22,IKEA,Shopping,#e0647f,High-Yield Savings,Cash,9292,USD,
91,2023-08-22,CityMed Urgent Care,Healthcare,#58b86a,Amex Platinum,Debit Card,3826,USD,
72,2023-08-23,Lyft,Transportation,#45b7a4,Amex Platinum,Credit Card,3854,USD,Date night
75,2023-08-24,Live Nation,Entertainment,#b07ce8,High-Yield Savings,ACH Transfer,5264,USD,Renewal
89,2023-08-24,Sephora,Shopping,#e0647f,Everyday Checking,Credit Card,29698,USD,Home office
64,2023-08-25,Chipotle,Food,#ed7940,Amex Platinum,Debit Card,6743,USD,Split payment
92,2023-08-26,Wellness Pharmacy,Healthcare,#58b86a,Everyday Checking,ACH Transfer,3088,USD,
67,2023-08-27,ParkMobile,Transportation,#45b7a4,Everyday Checking,ACH Transfer,1266,USD,
78,2023-08-27,Netflix,Entertainment,#b07ce8,Amex Platinum,Debit Card,5364,USD,Date night
56,2023-08-28,Seamless,Food,#ed7940,Everyday Checking,Credit Card,9339,USD,
106,2023-09-01,Sweetgreen,Food,#ed7940,High-Yield Savings,Cash,860,USD,Home office
119,2023-09-01,Lyft,Transportation,#45b7a4,High-Yield Savings,ACH Transfer,3742,USD,Gift for Sam
122,2023-09-01,Shell,Transportation,#45b7a4,Sapphire Card,Debit Card,654,USD,
132,2023-09-01,ConEdison,Utilities,#e0b64a,Everyday Checking,ACH Transfer,8220,USD,Monthly subscription
138,2023-09-01,Target,Shopping,#e0647f,Sapphire Card,ACH Transfer,30424,USD,Home office
126,2023-09-02,Spotify,Entertainment,#b07ce8,Amex Platinum,ACH Transfer,10104,USD,Weekly groceries
105,2023-09-03,Trader Joe's,Food,#ed7940,High-Yield Savings,Debit Card,7228,USD,Split with Maya
144,2023-09-03,CityMed Urgent Care,Healthcare,#58b86a,High-Yield Savings,ACH Transfer,21632,USD,
146,2023-09-03,Hertz,Travel,#6f7bd6,Sapphire Card,ACH Transfer,2673,USD,
104,2023-09-04,Whole Foods Market,Food,#ed7940,High-Yield Savings,Debit Card,1225,USD,Split payment
107,2023-09-04,Corner Deli,Food,#ed7940,Everyday Checking,Debit Card,532,USD,Split payment
109,2023-09-04,Shake Shack,Food,#ed7940,Amex Platinum,Cash,8757,USD,Monthly subscription
112,2023-09-04,Seamless,Food,#ed7940,Sapphire Card,ACH Transfer,1297,USD,Split payment
124,2023-09-04,Shell,Transportation,#45b7a4,Everyday Checking,Credit Card,435,USD,Renewal
118,2023-09-05,Uber,Transportation,#45b7a4,Sapphire Card,ACH Transfer,6600,USD,
121,2023-09-05,Shell,Transportation,#45b7a4,Sapphire Card,Credit Card,4270,USD,Renewal
110,2023-09-06,Seamless,Food,#ed7940,Everyday Checking,Cash,6856,USD,
111,2023-09-06,Chipotle,Food,#ed7940,Amex Platinum,Cash,3540,USD,Weekly groceries
113,2023-09-06,Shake Shack,Food,#ed7940,Sapphire Card,Cash,4678,USD,Home office
133,2023-09-07,City Water Board,Utilities,#e0b64a,Amex Platinum,Debit Card,9431,USD,Weekly groceries
140,2023-09-07,Uniqlo,Shopping,#e0647f,High-Yield Savings,Debit Card,27874,USD,Renewal
125,2023-09-08,AMC Theatres,Entertainment,#b07ce8,High-Yield Savings,Debit Card,11033,USD,Family visit
142,2023-09-08,CityMed Urgent Care,Healthcare,#58b86a,Sapphire Card,ACH Transfer,8197,USD,
148,2023-09-09,Amtrak,Travel,#6f7bd6,Amex Platinum,ACH Transfer,3448,USD,
116,2023-09-10,Homeshield Insurance,Housing,#4f8fdf,Amex Platinum,Cash,186812,USD,Monthly subscription
117,2023-09-10,Metro Transit,Transportation,#45b7a4,Sapphire Card,ACH Transfer,345,USD,
131,2023-09-11,ConEdison,Utilities,#e0b64a,Sapphire Card,Credit Card,5572,USD,Date night
147,2023-09-11,Hertz,Travel,#6f7bd6,Everyday Checking,Cash,3107,USD,Weekly groceries
139,2023-09-12,IKEA,Shopping,#e0647f,Amex Platinum,Cash,25299,USD,Split with Maya
103,2023-09-13,Chipotle,Food,#ed7940,Amex Platinum,Cash,7072,USD,
141,2023-09-13,CityMed Urgent Care,Healthcare,#58b86a,Everyday Checking,ACH Transfer,20921,USD,Reimbursed by work
108,2023-09-14,Chipotle,Food,#ed7940,Amex Platinum,ACH Transfer,8625,USD,Split payment
143,2023-09-15,Wellness Pharmacy,Healthcare,#58b86a,High-Yield Savings,ACH Transfer,23879,USD,
149,2023-09-16,Airbnb,Travel,#6f7bd6,Everyday Checking,Cash,7269,USD,
130,2023-09-17,Powell's Books,Entertainment,#b07ce8,High-Yield Savings,Debit Card,3098,USD,Split payment
101,2023-09-18,Seamless,Food,#ed7940,Amex Platinum,Debit Card,5810,USD,Weekly groceries
150,2023-09-18,Airbnb,Travel,#6f7bd6,Everyday Checking,ACH Transfer,10565,USD,Split with Maya
115,2023-09-20,Eastside Apartments,Housing,#4f8fdf,Sapphire Card,ACH Transfer,5601,USD,
120,2023-09-22,ParkMobile,Transportation,#45b7a4,Amex Platinum,Debit Card,3398,USD,Split payment
127,2023-09-22,Spotify,Entertainment,#b07ce8,Amex Platinum,Credit Card,1164,USD,
129,2023-09-22,Live Nation,Entertainment,#b07ce8,High-Yield Savings,ACH Transfer,2065,USD,Renewal
134,2023-09-22,Verizon Wireless,Utilities,#e0b64a,High-Yield Savings,Credit Card,7910,USD,Family visit
135,2023-09-22,Best Buy,Shopping,#e0647f,High-Yield Savings,Cash,30793,USD,
123,2023-09-23,Metro Transit,Transportation,#45b7a4,Everyday Checking,Credit Card,464,USD,Gift for Sam
136,2023-09-23,Amazon,Shopping,#e0647f,Sapphire Card,Credit Card,9097,USD,
114,2023-09-24,Local Farmers Market,Food,#ed7940,Everyday Checking,ACH Transfer,8189,USD,
145,2023-09-25,Airbnb,Travel,#6f7bd6,High-Yield Savings,Debit Card,37048,USD,
102,2023-09-27,Shake Shack,Food,#ed7940,Everyday Checking,Debit Card,753,USD,Monthly subscription
137,2023-09-27,Target,Shopping,#e0647f,High-Yield Savings,Cash,21393,USD,Reimbursed by work
128,2023-09-28,AMC Theatres,Entertainment,#b07ce8,Amex Platinum,Credit Card,7408,USD,
173,2023-10-01,Lyft,Transportation,#45b7a4,Sapphire Card,Credit Card,2036,USD,Family visit
175,2023-10-01,Steam,Entertainment,#b07ce8,Amex Platinum,ACH Transfer,4717,USD,Renewal
198,2023-10-01,Marriott,Travel,#6f7bd6,High-Yield Savings,Cash,9752,USD,Gift for Sam
155,2023-10-02,Levain Bakery,Food,#ed7940,High-Yield Savings,Debit Card,14164,USD,Reimbursed by work
165,2023-10-02,Harbor Rentals,Housing,#4f8fdf,High-Yield Savings,Debit Card,181943,USD,
177,2023-10-02,AMC Theatres,Entertainment,#b07ce8,High-Yield Savings,ACH Transfer,10991,USD,Reimbursed by work
170,2023-10-03,Shell,Transportation,#45b7a4,Amex Platinum,ACH Transfer,5849,USD,Split with Maya
157,2023-10-04,Chipotle,Food,#ed7940,Amex Platinum,Credit Card,735,USD,
160,2023-10-04,Trader Joe's,Food,#ed7940,Amex Platinum,Debit Card,1263,USD,Split payment
171,2023-10-04,Lyft,Transportation,#45b7a4,Everyday Checking,Debit Card,481,USD,Reimbursed by work
172,2023-10-04,Shell,Transportation,#45b7a4,Everyday Checking,Credit Card,1390,USD,Monthly subscription
184,2023-10-04,City Water Board,Utilities,#e0b64a,Sapphire Card,Debit Card,6233,USD,
194,2023-10-04,Dental Studio,Healthcare,#58b86a,Sapphire Card,Credit Card,25274,USD,Renewal
196,2023-10-04,Marriott,Travel,#6f7bd6,Sapphire Card,ACH Transfer,17911,USD,Split payment
154,2023-10-05,Levain Bakery,Food,#ed7940,Everyday Checking,ACH Transfer,7299,USD,Weekly groceries
200,2023-10-06,Amtrak,Travel,#6f7bd6,Sapphire Card,ACH Transfer,7127,USD,Split payment
174,2023-10-07,Shell,Transportation,#45b7a4,High-Yield Savings,Cash,4403,USD,
158,2023-10-08,Levain Bakery,Food,#ed7940,Sapphire Card,Cash,6160,USD,Weekly groceries
185,2023-10-09,Uniqlo,Shopping,#e0647f,Sapphire Card,Cash,23712,USD,Renewal
179,2023-10-10,Netflix,Entertainment,#b07ce8,Amex Platinum,Cash,4053,USD,Split with Maya
191,2023-10-10,CityMed Urgent Care,Healthcare,#58b86a,Amex Platinum,Cash,7566,USD,Home office
153,2023-10-11,Blue Bottle Coffee,Food,#ed7940,Everyday Checking,Cash,793,USD,Monthly subscription
190,2023-10-11,Amazon,Shopping,#e0647f,Sapphire Card,Credit Card,7231,USD,Split with Maya
180,2023-10-12,Steam,Entertainment,#b07ce8,Amex Platinum,Cash,6720,USD,Reimbursed by work
181,2023-10-12,City Water Board,Utilities,#e0b64a,High-Yield Savings,Cash,12752,USD,Date night
183,2023-10-12,Comcast,Utilities,#e0b64a,Sapphire Card,Credit Card,7124,USD,
166,2023-10-14,Meridian Property Mgmt,Housing,#4f8fdf,Everyday Checking,Cash,194798,USD,Split payment
164,2023-10-15,Shake Shack,Food,#ed7940,Amex Platinum,Cash,909,USD,
168,2023-10-15,Exxon,Transportation,#45b7a4,High-Yield Savings,Credit Card,551,USD,
156,2023-10-16,Sweetgreen,Food,#ed7940,High-Yield Savings,Cash,955,USD,Gift for Sam
163,2023-10-16,Trader Joe's,Food,#ed7940,Amex Platinum,ACH Transfer,9517,USD,
188,2023-10-17,Sephora,Shopping,#e0647f,High-Yield Savings,Cash,26675,USD,Gift for Sam
192,2023-10-17,CityMed Urgent Care,Healthcare,#58b86a,Amex Platinum,ACH Transfer,9161,USD,Split payment
162,2023-10-19,Seamless,Food,#ed7940,Everyday Checking,Cash,939,USD,Gift for Sam
182,2023-10-19,Verizon Wireless,Utilities,#e0b64a,High-Yield Savings,Cash,7559,USD,Weekly groceries
199,2023-10-19,Marriott,Travel,#6f7bd6,Amex Platinum,Cash,11655,USD,
176,2023-10-20,Spotify,Entertainment,#b07ce8,High-Yield Savings,Debit Card,1061,USD,Date night
151,2023-10-21,Whole Foods Market,Food,#ed7940,Everyday Checking,Cash,5205,USD,
186,2023-10-21,Amazon,Shopping,#e0647f,High-Yield Savings,ACH Transfer,26008,USD,Reimbursed by work
161,2023-10-22,Levain Bakery,Food,#ed7940,Amex Platinum,Credit Card,8006,USD,Split payment
178,2023-10-22,Netflix,Entertainment,#b07ce8,Amex Platinum,ACH Transfer,1898,USD,
159,2023-10-24,Shake Shack,Food,#ed7940,Sapphire Card,ACH Transfer,7142,USD,
167,2023-10-24,Zipcar,Transportation,#45b7a4,Sapphire Card,Credit Card,434,USD,Home office
169,2023-10-24,Exxon,Transportation,#45b7a4,Sapphire Card,ACH Transfer,3021,USD,
187,2023-10-25,IKEA,Shopping,#e0647f,Everyday Checking,Credit Card,13292,USD,Monthly subscription
189,2023-10-25,Best Buy,Shopping,#e0647f,Amex Platinum,Debit Card,27712,USD,
152,2023-10-26,Levain Bakery,Food,#ed7940,High-Yield Savings,Cash,503,USD,
193,2023-10-26,Dental Studio,Healthcare,#58b86a,Amex Platinum,ACH Transfer,9686,USD,Reimbursed by work
195,2023-10-28,Delta Air Lines,Travel,#6f7bd6,High-Yield Savings,Credit Card,2591,USD,
197,2023-10-28,Airbnb,Travel,#6f7bd6,Amex Platinum,Credit Card,8432,USD,Date night
210,2023-11-02,Blue Bottle Coffee,Food,#ed7940,Sapphire Card,Cash,7201,USD,Split with Maya
217,2023-11-02,Lyft,Transportation,#45b7a4,High-Yield Savings,Credit Card,735,USD,Reimbursed by work
224,2023-11-02,Zipcar,Transportation,#45b7a4,Sapphire Card,Debit Card,486,USD,Reimbursed by work
226,2023-11-03,AMC Theatres,Entertainment,#b07ce8,High-Yield Savings,Debit Card,7219,USD,Gift for Sam
239,2023-11-03,IKEA,Shopping,#e0647f,Amex Platinum,Debit Card,17884,USD,Weekly groceries
206,2023-11-04,Whole Foods Market,Food,#ed7940,High-Yield Savings,Debit Card,675,USD,
218,2023-11-05,Uber,Transportation,#45b7a4,High-Yield Savings,ACH Transfer,4352,USD,
220,2023-11-05,Uber,Transportation,#45b7a4,Amex Platinum,Debit Card,875,USD,Gift for Sam
203,2023-11-06,Shake Shack,Food,#ed7940,Everyday Checking,Debit Card,14987,USD,Date night
237,2023-11-06,Best Buy,Shopping,#e0647f,Amex Platinum,Credit Card,12195,USD,
211,2023-11-07,Seamless,Food,#ed7940,Everyday Checking,ACH Transfer,6057,USD,Reimbursed by work
215,2023-11-07,Harbor Rentals,Housing,#4f8fdf,Sapphire Card,Cash,11865,USD,Split payment
234,2023-11-07,Verizon Wireless,Utilities,#e0b64a,Everyday Checking,ACH Transfer,6340,USD,
236,2023-11-08,Target,Shopping,#e0647f,Everyday Checking,ACH Transfer,28180,USD,Date night
242,2023-11-08,Dental Studio,Healthcare,#58b86a,High-Yield Savings,ACH Transfer,19915,USD,
209,2023-11-09,Trader Joe's,Food,#ed7940,Sapphire Card,Cash,4697,USD,Monthly subscription
249,2023-11-09,Airport Parking,Travel,#6f7bd6,Sapphire Card,ACH Transfer,3638,USD,Split with Maya
240,2023-11-10,Sephora,Shopping,#e0647f,Everyday Checking,Cash,10024,USD,Split payment
205,2023-11-11,Local Farmers Market,Food,#ed7940,Amex Platinum,ACH Transfer,5106,USD,Renewal
222,2023-11-11,Shell,Transportation,#45b7a4,High-Yield Savings,Cash,2890,USD,Split payment
219,2023-11-12,Zipcar,Transportation,#45b7a4,High-Yield Savings,Debit Card,481,USD,Split with Maya
204,2023-11-13,Local Farmers Market,Food,#ed7940,High-Yield Savings,Credit Card,1052,USD,
233,2023-11-13,Verizon Wireless,Utilities,#e0b64a,Everyday Checking,Cash,15041,USD,
225,2023-11-14,Netflix,Entertainment,#b07ce8,Amex Platinum,Credit Card,6656,USD,Split payment
201,2023-11-15,Shake Shack,Food,#ed7940,High-Yield Savings,Credit Card,581,USD,Split payment
229,2023-11-15,AMC Theatres,Entertainment,#b07ce8,Sapphire Card,Debit Card,1046,USD,
213,2023-11-16,Trader Joe's,Food,#ed7940,Sapphire Card,ACH Transfer,1388,USD,Weekly groceries
248,2023-11-17,Amtrak,Travel,#6f7bd6,Sapphire Card,ACH Transfer,7272,USD,Split payment
243,2023-11-18,CVS Pharmacy,Healthcare,#58b86a,High-Yield Savings,ACH Transfer,6199,USD,Date night
244,2023-11-18,CVS Pharmacy,Healthcare,#58b86a,High-Yield Savings,Credit Card,8643,USD,Renewal
208,2023-11-19,Sweetgreen,Food,#ed7940,High-Yield Savings,Cash,4156,USD,Family visit
247,2023-11-19,Hertz,Travel,#6f7bd6,Amex Platinum,ACH Transfer,12901,USD,Split payment
250,2023-11-19,Amtrak,Travel,#6f7bd6,High-Yield Savings,Cash,39067,USD,Home office
246,2023-11-20,Airport Parking,Travel,#6f7bd6,Sapphire Card,Debit Card,48039,USD,Renewal
245,2023-11-21,Airport Parking,Travel,#6f7bd6,Sapphire Card,Credit Card,1292,USD,
232,2023-11-22,Verizon Wireless,Utilities,#e0b64a,Everyday Checking,ACH Transfer,13251,USD,Family visit
235,2023-11-22,IKEA,Shopping,#e0647f,High-Yield Savings,Cash,7776,USD,Weekly groceries
238,2023-11-22,Uniqlo,Shopping,#e0647f,Sapphire Card,Credit Card,22796,USD,
241,2023-11-22,Dental Studio,Healthcare,#58b86a,Amex Platinum,Debit Card,30373,USD,Home office
227,2023-11-23,Powell's Books,Entertainment,#b07ce8,High-Yield Savings,ACH Transfer,5726,USD,Family visit
202,2023-11-24,Levain Bakery,Food,#ed7940,High-Yield Savings,Cash,622,USD,Gift for Sam
221,2023-11-24,Uber,Transportation,#45b7a4,High-Yield Savings,Credit Card,4495,USD,Reimbursed by work
230,2023-11-24,Powell's Books,Entertainment,#b07ce8,Sapphire Card,Cash,4433,USD,Monthly subscription
231,2023-11-24,Verizon Wireless,Utilities,#e0b64a,Sapphire Card,Cash,6455,USD,
228,2023-11-25,Netflix,Entertainment,#b07ce8,Sapphire Card,Cash,1262,USD,Gift for Sam
207,2023-11-26,Levain Bakery,Food,#ed7940,Everyday Checking,ACH Transfer,3270,USD,Split payment
212,2023-11-26,Seamless,Food,#ed7940,Sapphire Card,Cash,1306,USD,Home office
216,2023-11-26,Homeshield Insurance,Housing,#4f8fdf,Sapphire Card,Credit Card,181911,USD,Renewal
214,2023-11-28,Seamless,Food,#ed7940,Sapphire Card,Cash,7174,USD,Family visit
223,2023-11-28,Lyft,Transportation,#45b7a4,Everyday Checking,Debit Card,3003,USD,
261,2023-12-02,Local Farmers Market,Food,#ed7940,Sapphire Card,Credit Card,1089,USD,Split payment
264,2023-12-02,Local Farmers Market,Food,#ed7940,Amex Platinum,Credit Card,4238,USD,Date night
269,2023-12-02,Shell,Transportation,#45b7a4,High-Yield Savings,Credit Card,1835,USD,Weekly groceries
252,2023-12-03,Trader Joe's,Food,#ed7940,Everyday Checking,Cash,5833,USD,Date night
253,2023-12-03,Seamless,Food,#ed7940,Sapphire Card,Credit Card,5783,USD,Split payment
258,2023-12-03,Chipotle,Food,#ed7940,Amex Platinum,Cash,13507,USD,
279,2023-12-03,Live Nation,Entertainment,#b07ce8,Everyday Checking,Cash,3518,USD,Split payment
254,2023-12-04,Shake Shack,Food,#ed7940,Everyday Checking,Debit Card,9787,USD,Family visit
293,2023-12-04,Dental Studio,Healthcare,#58b86a,High-Yield Savings,Debit Card,4079,USD,Family visit
257,2023-12-05,Shake Shack,Food,#ed7940,Sapphire Card,Debit Card,9162,USD,Renewal
274,2023-12-06,Shell,Transportation,#45b7a4,High-Yield Savings,Credit Card,1881,USD,Gift for Sam
283,2023-12-06,Green Mountain Energy,Utilities,#e0b64a,Everyday Checking,Credit Card,14515,USD,
287,2023-12-06,Uniqlo,Shopping,#e0647f,Amex Platinum,Debit Card,31463,USD,Reimbursed by work
262,2023-12-07,Seamless,Food,#ed7940,Amex Platinum,Cash,6783,USD,Renewal
280,2023-12-07,Steam,Entertainment,#b07ce8,Sapphire Card,ACH Transfer,1417,USD,Weekly groceries
288,2023-12-07,Uniqlo,Shopping,#e0647f,Sapphire Card,Cash,25553,USD,Home office
278,2023-12-08,Steam,Entertainment,#b07ce8,Everyday Checking,ACH Transfer,7282,USD,
292,2023-12-08,Wellness Pharmacy,Healthcare,#58b86a,High-Yield Savings,Debit Card,7772,USD,Renewal
